2026-04-27 17:59:36 | INFO     | main | Initialising engines...
2026-04-27 17:59:45 | INFO     | main | Transcribing conversation-01.mp3...
2026-04-27 18:02:33 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\conversation-01_20260427_175945_transcription.txt
2026-04-27 18:02:33 | INFO     | main | Translating conversation-01.mp3 to English > Chinese...
2026-04-27 18:04:14 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\conversation-01_20260427_175945_translated.txt
2026-04-27 18:04:15 | INFO     | main | Summarising conversation-01.mp3...
2026-04-27 18:04:34 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\conversation-01_20260427_175945_summary.txt
2026-04-27 18:04:34 | INFO     | main | Transcribing conversation-02.mp3...
2026-04-27 18:04:35 | ERROR    | main | Pipeline error: 'NoneType' object has no attribute 'decode'
Traceback (most recent call last):
  File "C:\AudioIntel\app\main.py", line 207, in <module>
    result     = transcriber.transcribe(
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\AudioIntel\app\transcriber.py", line 74, in transcribe
    result = self._transcribe_with_progress(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\AudioIntel\app\transcriber.py", line 105, in _transcribe_with_progress
    original_decode = self.model.decode # type: ignore
                      ^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'decode'
2026-04-27 18:15:36 | INFO     | main | --------------------------------------------------------
2026-04-27 18:15:36 | INFO     | main | Found 13 file(s) in C:/AudioIntel/input-voice
2026-04-27 18:15:36 | INFO     | main | Initialising engines...
2026-04-27 18:15:36 | INFO     | main | Loading Whisper for file 1/13...
2026-04-27 18:15:48 | INFO     | main | Transcribing conversation-01.mp3...
2026-04-27 18:26:01 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\conversation-01_20260427_181536_transcription.txt
2026-04-27 18:26:02 | INFO     | main | Translating conversation-01.mp3 to English > Chinese...
2026-04-27 18:29:03 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\conversation-01_20260427_181536_translated.txt
2026-04-27 18:29:04 | INFO     | main | Summarising conversation-01.mp3...
2026-04-27 18:29:56 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\conversation-01_20260427_181536_summary.txt
2026-04-27 18:29:56 | INFO     | main | Loading Whisper for file 2/13...
2026-04-27 18:30:18 | INFO     | main | Transcribing conversation-02.mp3...
2026-04-27 18:41:49 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\conversation-02_20260427_182956_transcription.txt
2026-04-27 18:41:51 | INFO     | main | Translating conversation-02.mp3 to English > Chinese...
2026-04-27 21:01:01 | INFO     | main | --------------------------------------------------------
2026-04-27 21:01:01 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Ninja_Teacher.mp3
2026-04-27 21:01:01 | INFO     | main | Initialising engines...
2026-04-27 21:01:01 | INFO     | main | Loading Whisper for file 1/1...
2026-04-27 21:01:12 | INFO     | main | Transcribing Ninja_Teacher.mp3...
2026-04-27 21:10:44 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\Ninja_Teacher_20260427_210101_transcription.txt
2026-04-27 21:10:44 | INFO     | main | Translating Ninja_Teacher.mp3 to English > Malay...
2026-04-27 21:16:36 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\Ninja_Teacher_20260427_210101_translated.txt
2026-04-27 21:16:36 | INFO     | main | Summarising Ninja_Teacher.mp3...
2026-04-27 21:17:07 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\Ninja_Teacher_20260427_210101_summary.txt
2026-04-27 21:17:07 | INFO     | main | Pipeline complete.
2026-04-27 21:21:06 | INFO     | main | --------------------------------------------------------
2026-04-27 21:21:06 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Homeless_In_Athens_1B.mp3
2026-04-27 21:21:06 | INFO     | main | Initialising engines...
2026-04-27 21:21:06 | INFO     | main | Loading Whisper for file 1/1...
2026-04-27 21:21:18 | INFO     | main | Transcribing Homeless_In_Athens_1B.mp3...
2026-04-27 21:43:04 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\Homeless_In_Athens_1B_20260427_212106_transcription.txt
2026-04-27 21:43:06 | INFO     | main | Translating Homeless_In_Athens_1B.mp3 to English > Arabic...
2026-04-27 21:53:53 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\Homeless_In_Athens_1B_20260427_212106_translated.txt
2026-04-27 21:53:54 | INFO     | main | Summarising Homeless_In_Athens_1B.mp3...
2026-04-27 21:54:23 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\Homeless_In_Athens_1B_20260427_212106_summary.txt
2026-04-27 21:54:23 | INFO     | main | Pipeline complete.
2026-04-27 21:55:08 | INFO     | main | --------------------------------------------------------
2026-04-27 21:55:08 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Ninja_Teacher.mp3
2026-04-27 21:55:08 | INFO     | main | Initialising engines...
2026-04-27 21:55:08 | INFO     | main | Loading Whisper for file 1/1...
2026-04-27 21:55:27 | INFO     | main | Transcribing Ninja_Teacher.mp3...
2026-04-27 22:25:33 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\Ninja_Teacher_20260427_215508_transcription.txt
2026-04-27 22:25:36 | INFO     | main | Translating Ninja_Teacher.mp3 to English > Chinese...
2026-04-27 22:30:41 | INFO     | main | --------------------------------------------------------
2026-04-27 22:30:41 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Ninja_Teacher.mp3
2026-04-27 22:30:41 | INFO     | main | Initialising engines...
2026-04-27 22:30:41 | INFO     | main | Loading Whisper for file 1/1...
2026-04-27 22:31:15 | INFO     | main | Transcribing Ninja_Teacher.mp3...
2026-04-27 22:32:07 | INFO     | main | --------------------------------------------------------
2026-04-27 22:32:07 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Ninja_Teacher.mp3
2026-04-27 22:32:07 | INFO     | main | Initialising engines...
2026-04-27 22:32:07 | INFO     | main | Loading Whisper for file 1/1...
2026-04-27 22:32:09 | INFO     | main | --------------------------------------------------------
2026-04-27 22:32:09 | INFO     | main | Found 1 file(s) in C:/AudioIntel/tmp/Ninja_Teacher.mp3
2026-04-27 22:32:09 | INFO     | main | Initialising engines...
2026-04-27 22:32:09 | INFO     | main | Loading Whisper for file 1/1...
2026-04-28 03:26:08 | INFO     | main | Transcribing Ninja_Teacher.mp3...
2026-04-28 03:26:09 | INFO     | main | Transcribing Ninja_Teacher.mp3...
2026-04-28 04:28:11 | INFO     | main | --------------------------------------------------------
